01 Apr,12.9,6.1,6.10,3.50,0.00,11.2,6.2,1015.10,1012.80
02 Apr,12.2,7.2,7.30,3.50,0.00,18.8,10.0,1021.10,1015.20
03 Apr,12.4,6.2,5.60,-0.50,0.00,11.2,5.5,1020.70,1017.70
04 Apr,12.7,7.1,4.30,2.30,0.00,11.2,5.4,1018.20,1015.60
05 Apr,16.1,6.5,7.70,3.10,0.00,10.7,6.7,1017.00,1012.80
06 Apr,11.9,7.9,6.80,5.40,0.00,14.3,7.6,1013.20,1010.70
07 Apr,17.9,8.6,11.30,6.10,1.40,9.4,4.9,1011.60,1009.00
08 Apr,21.8,12.4,12.80,9.20,0.20,8.9,4.2,1009.40,1000.50
09 Apr,17.7,10.9,10.00,6.20,1.40,11.61,6.16,1004.10,998.6
10 Apr,13.2,11.6,10.10,8.00,1.40,6.3,3.6,1008.80,1003.10
11 Apr,16.4,11.6,12.40,8.70,4.20,8.0,4.2,1011.50,1008.30
12 Apr,15.3,12.2,11.00,8.40,1.60,9.8,4.8,1014.00,1011.40
13 Apr,15.8,11.8,11.70,8.20,9.00,7.6,2.6,1014.10,1011.40
14 Apr,14.3,9.8,10.90,7.80,7.80,13.0,8.4,1013.00,1007.50
15 Apr,11.2,7.8,7.90,4.80,0.00,12.1,6.8,1018.10,1013.00
16 Apr,12.8,6.2,5.80,-0.10,0.00,9.8,5.4,1017.90,1016.40
17 Apr,14.1,7.9,6.30,1.60,0.00,8.9,5.1,1019.50,1015.90
18 Apr,12.4,7.9,7.60,4.70,0.00,10.7,5.8,1023.20,1019.50
19 Apr,12.8,7.1,4.80,-1.00,0.00,13.0,7.4,1024.40,1021.90
20 Apr,10.9,5.6,4.30,0.30,3.80,13.0,6.5,1025.60,1022.80
21 Apr,14.8,5.3,3.20,-3.10,0.00,8.5,3.3,1025.20,1022.30
22 Apr,14.4,7.8,6.00,-2.20,0.00,8.0,4.0,1023.80,1021.60
23 Apr,17.3,8.1,6.10,1.30,0.00,9.4,5.4,1026.60,1023.50
24 Apr,19.7,10.8,10.30,3.30,0.00,7.2,4.0,1027.20,1024.20
25 Apr,21.3,11.1,11.50,7.40,0.20,8.9,1.67,1024.90,1021.60
26 Apr,20.1,10.0,11.30,6.60,0.00,10.3,3.21,1021.80,1018.20
27 Apr,21.4,9.3,11.30,-7.60,0.00,7.6,1.32,1018.50,1011.80
28 Apr,22.4,13.9,13.70,2.80,0.60,4.9,0.89,1013.50,1010.90
29 Apr,24.7,14.9,15.10,10.20,0.00,4.9,0.72,1013.40,1010.00
30 Apr,24.8,15.9,14.40,7.40,0.00,8.5,1.62,1011.40,1007.70
